error: Dec-18-2022 08:37:08: 	422 - Unprocessable Entity - This student is admitted already - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 08:37:13: 	422 - Unprocessable Entity - This student is admitted already - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 08:37:34: 	Server started and running on  8080
error: Dec-18-2022 08:37:40: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 08:40:16: 	Server started and running on  8080
info: Dec-18-2022 08:41:16: 	Server started and running on  8080
info: Dec-18-2022 08:42:03: 	Server started and running on  8080
info: Dec-18-2022 08:45:25: 	Server started and running on  8080
info: Dec-18-2022 08:45:55: 	Server started and running on  8080
info: Dec-18-2022 09:15:27: 	Server started and running on  8080
error: Dec-18-2022 09:15:39: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 09:17:15: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 09:17:49: 	Server started and running on  8080
info: Dec-18-2022 09:18:28: 	Server started and running on  8080
info: Dec-18-2022 09:24:51: 	Server started and running on  8080
info: Dec-18-2022 09:29:22: 	Server started and running on  8080
info: Dec-18-2022 09:31:04: 	Server started and running on  8080
info: Dec-18-2022 09:36:05: 	Server started and running on  8080
error: Dec-18-2022 09:36:18: 	500 - Internal Server Error - req.body is not iterable - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 09:36:23: 	500 - Internal Server Error - req.body is not iterable - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 09:37:41: 	Server started and running on  8080
info: Dec-18-2022 09:38:27: 	Server started and running on  8080
info: Dec-18-2022 09:39:49: 	Server started and running on  8080
info: Dec-18-2022 09:40:34: 	Server started and running on  8080
error: Dec-18-2022 09:40:41: 	500 - Internal Server Error - Cannot read properties of undefined (reading 'student_name') - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 09:41:53: 	Server started and running on  8080
info: Dec-18-2022 09:42:48: 	Server started and running on  8080
info: Dec-18-2022 09:44:50: 	Server started and running on  8080
info: Dec-18-2022 09:45:38: 	Server started and running on  8080
info: Dec-18-2022 09:45:48: 	Server started and running on  8080
info: Dec-18-2022 09:45:59: 	Server started and running on  8080
info: Dec-18-2022 09:46:34: 	Server started and running on  8080
info: Dec-18-2022 09:47:57: 	Server started and running on  8080
error: Dec-18-2022 09:48:07: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 09:48:14: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 09:48:17: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 09:48:43: 	Server started and running on  8080
info: Dec-18-2022 09:50:20: 	Server started and running on  8080
info: Dec-18-2022 09:51:33: 	Server started and running on  8080
error: Dec-18-2022 09:51:39: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 10:28:15: 	Server started and running on  8080
